,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
9336,17253586,quake,,,,declarative,eng,-2147483648,1,39,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,183.859,184.996,s,Eng-NA,21,330,22782,22782,43652
9337,17253587,desert,,,,declarative,eng,-2147483648,1,28,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,93.818,94.439,s,Eng-NA,21,330,22782,22782,43667
9338,17253588,soccer,,,,declarative,eng,-2147483648,1,27,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,91.743,92.702,s,Eng-NA,21,330,22782,22782,43670
9339,17253589,seven,,,,declarative,eng,-2147483648,1,35,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,221.503,222.835,s,Eng-NA,21,330,22782,22782,43656
9340,17253590,duke,,,,declarative,eng,-2147483648,1,28,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,120.796,121.268,s,Eng-NA,21,330,22782,22782,43672
9341,17253591,same,,,,declarative,eng,-2147483648,1,33,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,238.835,239.845,s,Eng-NA,21,330,22782,22782,43657
9342,17253592,donkey,,,,declarative,eng,-2147483648,1,28,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,103.391,104.482,s,Eng-NA,21,330,22782,22782,43664
9343,17253593,shovel,,,,declarative,eng,-2147483648,1,38,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,204.541,205.654,s,Eng-NA,21,330,22782,22782,43653
9344,17253594,twisted,,,,declarative,eng,-2147483648,1,38,PaidoEnglish,,CHI,,Target_Child,,63.0012936610608,female,141.145,142.289,s,Eng-NA,21,330,22782,22782,43654
9345,17253595,super,,,,declarative,eng,-2147483648,1,31,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,268.072,269.452,s,Eng-NA,21,330,22782,22782,43662
9346,17253596,chipmunk,,,,declarative,eng,-2147483648,1,28,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,88.406,89.43,s,Eng-NA,21,330,22782,22782,43669
9347,17253597,kitchen,,,,declarative,eng,-2147483648,1,31,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,108.978,109.79,s,Eng-NA,21,330,22782,22782,43665
9348,17253598,duke,,,,declarative,eng,-2147483648,1,28,PaidoEnglish,,CHI,,Target_Child,,69.00141686687611,female,204.682,205.321,s,Eng-NA,21,330,22782,22782,43668
