,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
727,14059417,Max had a frog,Max have a frog,,,declarative,eng,5,4,1,POLER,n:prop v det:art n,CHI,217,Target_Child,217,52.00106778373272,male,0.001,3.681,s,Clinical-MOR,17,256,18517,18517,31520
728,14059418,and the dog got his head stuck in the bowl,and the dog get his head stick in the bowl,,,declarative,eng,12,10,7,POLER,coord det:art n v det:poss n v prep det:art n,CHI,139,Target_Child,139,135.00277213084456,male,24.749,29.1,s,Clinical-MOR,17,256,18512,18512,31518
729,14059420,and the boy wake up,and the boy wake up,,,declarative,eng,5,5,6,POLER,coord det:art n v adv,CHI,133,Target_Child,133,63.0012936610608,female,30.069,33.221,s,Clinical-MOR,17,256,18511,18511,31517
730,14059421,speak just a little bit louder,speak just a little bit loud,,,declarative,eng,7,6,3,POLER,v adv det:art adj n adj,INV,None,Investigator,136,110.00225877328076,female,6.676,13.758,s,Clinical-MOR,17,256,18515,18513,31519
731,14059422,I looked all over for him,I look all over for him,,,declarative,eng,7,6,5,POLER,pro:sub v adv prep prep pro:obj,CHI,146,Target_Child,146,91.00186862153227,female,23.901,26.708,s,Clinical-MOR,17,256,18518,18518,31521
732,14059423,the dog look in,the dog look in,,,declarative,eng,4,4,2,POLER,det:art n v adv,CHI,217,Target_Child,217,52.00106778373272,male,,,None,Clinical-MOR,17,256,18517,18517,31520
733,14059425,they looked out the window,they look out the window,,,declarative,eng,6,5,8,POLER,pro:sub v prep det:art n,CHI,139,Target_Child,139,135.00277213084456,male,29.1,33.917,s,Clinical-MOR,17,256,18512,18512,31518
734,14059426,and the dog and the dog went in the bucket,and the dog go in the bucket,,,declarative,eng,8,10,7,POLER,coord det:art n v prep det:art n,CHI,133,Target_Child,133,63.0012936610608,female,33.221,46.601,s,Clinical-MOR,17,256,18511,18511,31517
735,14059427,the the fr when he was sleeping the frog had got out of the jar,when he be sleep the frog have get out of the jar,,,declarative,eng,17,15,4,POLER,conj pro:sub aux part det:art n v v adv prep det:art n,CHI,136,Target_Child,136,110.00225877328076,female,13.758,21.08,s,Clinical-MOR,17,256,18513,18513,31519
736,14059428,at least the cup didn't have any water,at least the cup do have any water,,,declarative,eng,10,8,3,POLER,prep adj det:art n mod v qn n,CHI,217,Target_Child,217,52.00106778373272,male,3.681,11.14,s,Clinical-MOR,17,256,18517,18517,31520
